web_scraper_order,web_scraper_start_url,data,data2,data3,image
"1786124408-37","https://sawa9ly.app/wishlist","Tire-lait Électrique Intégré Mains Libres pour Allaitement, 4 Modes et 12 Réglables, Faible Bruit MY-374","5,900 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/14180/MY-374-8745.jpg"
"1786124408-38","https://sawa9ly.app/wishlist","Humidificateur créatif en forme de nuage de pluie 7 couleurs  280ml","3,400 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/14672/Humidificateur-de-bureau-lampe-daromatherapie.jpg"
"1786124408-39","https://sawa9ly.app/wishlist","Redresseur d'orteils, correcteur d'attelle, enveloppe d'orteils courbés et tordus pour aligner","900 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/15723/Finger-protector.jpg"
"1786124408-40","https://sawa9ly.app/wishlist","Barre de pilates portable avec bande de résistance réglable","1,800 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/15727/sac-dos-sdfsdfchat.jpg"
"1786124408-41","https://sawa9ly.app/wishlist","Pack Découpe 2en1 Moulin à Fromage + Hachoir à Herbe","1,200 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/33713/moulin-fromage.jpg"
"1786124408-42","https://sawa9ly.app/wishlist","Mini Hachoir électrique Portable Rechargeable multifonction 350 ML","1,450 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/16075/61kfqlpnzL._AC_SL1500_-600x600.jpg"
"1786124408-43","https://sawa9ly.app/wishlist","Pot Coupe-Légumes 9in1 Multifonction Avec Panier De Vidange + Éplucheur V2","1,800 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/16090/Trancheuse-l-gumes-multifonctionnelle-7-en-1-avec-panier-de-vidange-r-pe-fruits-et-l.png"
"1786124408-44","https://sawa9ly.app/wishlist","Balance de cuisine haute précision numérique avec bol en acier inoxydable, 5 kg / 1 g avec écran LCD","3,500 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/22489/main-scale-3.jpg"
"1786124408-45","https://sawa9ly.app/wishlist","Paquet de 100 Pcs Gants de Protection en Polynitrile – Pro Glove","1,600 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/16701/PRO-gloves214.jpg"
"1786124408-46","https://sawa9ly.app/wishlist","Attelle De Doigt ,Index en Aluminium Réglable Moyen Doigt Récupération Protection Contre Les Blessures","850 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/16828/Main-4.jpg"
"1786124408-47","https://sawa9ly.app/wishlist","Aiguisoir de couteaux a 3 étapes en acier diamant enduit de céramique , outils d’affûtage de cuisine","1,000 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/17915/Sc6dd2b96bf904600abf71d2890d2796fy.jpg_640x640Q90.jpg_.png"
"1786124408-48","https://sawa9ly.app/wishlist","Serrure De Sécurité Du Réfrigérateur _ قفل باب للثلاجة متعدد الاستخدامات للحفاظ على سلامة الأطفال","950 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/18213/Sequence_01_1_480x480_7a66e037-5b67-4f95-8169-52647ebb888c_480x480.webp"
"1786124408-49","https://sawa9ly.app/wishlist","Écouteurs sans fil bluetooth, écouteur mains libres, couleur blanc DUNTH DU-F3","1,700 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/18284/f3-dunth.jpg"
"1786124408-50","https://sawa9ly.app/wishlist","Sit-Up Bar Équipement de fitness à domicile ventouse, aide à s'asseoir, Muscles abdominaux, entraînement du corps","1,650 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/18335/S776d2f2e53254f0396bf3d7fcd51c08eA.png"
"1786124408-51","https://sawa9ly.app/wishlist","Renforcement de la poignée avec résistance réglable de 5-160kg V2","1,750 دج","+ أضف إلى السلة","https://sawaqli.fra1.cdn.digitaloceanspaces.com/29972/Renforcement-Poignet-cnc.jpg"
